SESSION	CONDITION
ses-01	pre
ses-02	pre
ses-03	pre
ses-04	pre
ses-05	pre
ses-06	pre
ses-07	pre
ses-08	pre
ses-09	pre
ses-10	pre
ses-11	pre
ses-12	pre
ses-13	pre
ses-14	pre
ses-15	cast
ses-16	cast
ses-17	cast
ses-18	cast
ses-19	cast
ses-20	cast
ses-21	cast
ses-22	cast
ses-23	cast
ses-24	cast
ses-25	cast
ses-26	cast
ses-27	cast
ses-28	cast
ses-29	post
ses-30	post
ses-31	post
ses-32	post
ses-33	post
ses-34	post
ses-35	post
ses-36	post
ses-37	post
ses-38	post
ses-39	post
ses-40	post
ses-41	post
ses-42	post
ses-43	off
ses-44	on
ses-45	off
ses-46	on
ses-47	off
ses-48	on
ses-49	off
ses-50	on
ses-51	off
ses-52	on
ses-53	off
ses-54	on
