SESSION	CONDITION
ses-01	pre
ses-02	pre
ses-03	pre
ses-04	pre
ses-05	pre
ses-06	pre
ses-07	pre
ses-08	pre
ses-09	pre
ses-10	pre
ses-11	cast
ses-12	cast
ses-13	cast
ses-14	cast
ses-15	cast
ses-16	cast
ses-17	cast
ses-18	cast
ses-19	cast
ses-20	cast
ses-21	cast
ses-22	cast
ses-23	cast
ses-24	post
ses-25	post
ses-26	post
ses-27	post
ses-28	post
ses-29	post
ses-30	post
ses-31	post
ses-32	post
ses-33	post
ses-34	post
ses-35	post
ses-36	post
ses-37	post
ses-38	post
ses-39	post
ses-40	post
ses-41	post
ses-42	post
ses-43	post
ses-44	post
ses-45	post
ses-46	post
ses-47	post
ses-48	on
ses-49	on
ses-50	off
ses-51	off
ses-52	off
ses-53	on
ses-54	off
ses-55	on
ses-56	on
ses-57	on
ses-58	off
ses-59	off
